day_of_week,hour_of_day,avg_speed
1,0,11.034850718030185
1,1,10.720592541810797
1,2,11.120308189561115
1,3,11.485058935897985
1,4,12.360563869654332
1,5,12.646901625635289
1,6,11.794200212647366
1,7,10.563688696724986
1,8,9.071756137648656
1,9,8.5682863823868
1,10,8.332062826444496
1,11,8.318255613353383
1,12,8.389082396533608
1,13,8.583092476517836
1,14,8.461650536123479
1,15,8.572466891026027
1,16,8.696567194739885
1,17,8.513151594225313
1,18,8.854293790558389
1,19,9.754187911967522
1,20,10.234346031587016
1,21,10.603506252819754
1,22,10.959681047569868
1,23,11.66595072361489
2,0,12.127708765196756
2,1,12.86505795643348
2,2,12.733514973845994
2,3,13.292554925300262
2,4,13.538687902926283
2,5,12.51905069490195
2,6,11.406400625240492
2,7,9.807579412945984
2,8,8.13810017744535
2,9,7.333806814621592
2,10,6.993626870210028
2,11,6.877856242522418
2,12,7.056881009972618
2,13,7.470763913642335
2,14,7.520982829720482
2,15,7.558035253248506
2,16,7.823033299888934
2,17,7.6083074949540945
2,18,7.980633275964042
2,19,9.030728537360593
2,20,9.790070014761206
2,21,10.300992264663233
2,22,10.691084227009513
2,23,11.3716566192398
3,0,11.88836262146037
3,1,12.679367308499193
3,2,12.61031877903304
3,3,12.98164907405275
3,4,13.589218758668334
3,5,12.693761162808226
3,6,11.61355431270037
3,7,10.034772351548375
3,8,8.383704315751027
3,9,7.515663457534389
3,10,7.08001299513273
3,11,6.877297115960203
3,12,6.721957342834159
3,13,6.949120068781941
3,14,7.158912349429695
3,15,7.238011675218723
3,16,7.26736567405821
3,17,7.167491090650821
3,18,7.655040622764885
3,19,8.602404971442105
3,20,9.399168021188334
3,21,10.001642695253514
3,22,10.379646935919684
3,23,11.028350866108221
4,0,11.582972330649891
4,1,12.369778274920852
4,2,12.621372557356144
4,3,12.861147377488724
4,4,13.268871399663059
4,5,12.923883117413123
4,6,11.7348306467059
4,7,10.106155415679595
4,8,8.405796827100113
4,9,7.471215855499251
4,10,7.170895169875297
4,11,6.861004805166751
4,12,6.802311005462125
4,13,7.129386101555899
4,14,7.19500000716292
4,15,7.308102401681254
4,16,7.361625945077364
4,17,7.2900716562502295
4,18,7.623973189159963
4,19,8.353082472358901
4,20,8.923923292880062
4,21,9.479151933613503
4,22,9.925322552892956
4,23,10.448582712975
5,0,11.129686564367566
5,1,11.746945970460263
5,2,12.04621802301684
5,3,12.439326907502947
5,4,12.910701471706552
5,5,12.697792672248257
5,6,11.922286685463689
5,7,10.60294482225218
5,8,9.23574251827044
5,9,8.483100582185514
5,10,7.934914956929984
5,11,7.62059637438607
5,12,7.6391792020606655
5,13,7.949207867678177
5,14,7.798739123176081
5,15,7.71917941878564
5,16,7.9309489977936884
5,17,7.944833076267585
5,18,8.076300623179675
5,19,8.196134031180915
5,20,8.287269647431646
5,21,8.337110427147916
5,22,8.38551579775936
5,23,8.996596681317621
6,0,9.643839342993552
6,1,10.259831276696769
6,2,10.754400008150265
6,3,11.622211042549724
6,4,12.395885754622826
6,5,13.297210225870929
6,6,12.780619799877314
6,7,12.63181254244002
6,8,12.096425320520085
6,9,11.130320800083407
6,10,10.230826809472768
6,11,9.169453437783174
6,12,8.373868071202555
6,13,7.830540608383047
6,14,7.74938520021163
6,15,7.51670817654224
6,16,7.252137856016177
6,17,7.019793924172503
6,18,6.941268144901661
6,19,6.921485525561719
6,20,7.413141068553942
6,21,7.78482209553427
6,22,8.102430544729508
6,23,8.869019593075091
7,0,9.667945533376301
7,1,10.205362416877048
7,2,10.866502312338257
7,3,11.685638397926844
7,4,12.465464646886257
7,5,13.191113874163447
7,6,13.354638292905538
7,7,13.027521155222237
7,8,12.526084031209836
7,9,11.947864152705083
7,10,11.051141188501457
7,11,10.033527528967534
7,12,9.094458848125374
7,13,8.642771817255046
7,14,8.453821101725644
7,15,8.339281145320832
7,16,8.226471094096311
7,17,8.296164485695332
7,18,8.483712653277909
7,19,9.306806464699735
7,20,9.911511766272028
7,21,10.533482643168735
7,22,10.951865418685632
7,23,11.678673986276726
